numbuilders 10
10 421 solar
10 421 wind
9 165 solar
9 165 wind
2 182 water
5 154 water
7 241 solar
4 426 solar
4 426 solar
4 426 water
6 395 solar
6 395 solar
1 137 solar
1 137 solar
1 137 wind
3 121 solar
3 121 solar
8 61 wind
10 118 water
10 118 wind
9 368 water
9 368 water
2 346 water
2 346 solar
2 346 solar
5 50 solar
5 50 wind
5 50 wind
7 239 wind
7 239 solar
4 375 wind
4 375 water
4 375 solar
6 166 solar
1 275 solar
3 99 wind
3 99 solar
3 99 wind
8 81 water
10 217 water
10 217 solar
9 367 wind
9 367 wind
9 367 wind
2 334 wind
2 334 solar
2 334 water
5 19 wind
5 19 wind
7 282 solar
4 74 wind
4 74 wind
4 74 water
6 491 wind
6 491 water
1 190 solar
1 190 water
3 429 wind
3 429 water
8 90 solar
8 90 solar
8 90 water
10 452 solar
10 452 water
9 309 solar
2 391 solar
5 54 solar
7 59 water
7 59 wind
7 59 solar
4 418 water
4 418 solar
4 418 water
6 251 water
1 354 wind
1 354 solar
3 343 solar
3 343 wind
8 72 wind
8 72 wind
10 480 wind
10 480 water
10 480 solar
9 459 solar
2 266 water
2 266 water
5 91 wind
5 91 water
5 91 water
7 193 water
7 193 water
4 207 solar
6 176 wind
1 349 water
3 106 wind
3 106 wind
8 344 solar
10 224 wind
10 224 wind
10 224 wind
9 31 wind
9 31 solar
2 225 water
5 185 water
5 185 wind
7 250 water
4 290 wind
4 290 solar
6 321 solar
1 215 water
1 215 solar
1 215 solar
3 264 solar
3 264 wind
8 430 solar
8 430 wind
8 430 water
10 285 wind
9 392 solar
2 273 wind
2 273 solar
2 273 water
5 129 water
5 129 wind
5 129 water
7 432 solar
7 432 solar
4 164 wind
4 164 solar
4 164 water
6 70 water
1 364 solar
3 379 wind
3 379 water
8 17 wind
8 17 water
10 150 solar
10 150 wind
10 150 water
9 88 wind
2 201 solar
2 201 wind
5 360 solar
5 360 water
5 360 wind
7 58 wind
7 58 wind
7 58 solar
4 332 wind
4 332 solar
4 332 water
6 454 wind
6 454 wind
6 454 solar
1 412 wind
1 412 water
1 412 water
3 317 solar
3 317 solar
8 284 solar
8 284 wind
8 284 solar
10 236 water
9 220 water
9 220 solar
2 122 solar
2 122 solar
2 122 water
5 300 solar
5 300 water
5 300 wind
7 327 solar
4 52 wind
4 52 solar
4 52 water
6 107 wind
1 475 wind
1 475 wind
3 92 water
3 92 wind
3 92 wind
8 319 wind
8 319 solar
10 89 water
10 89 wind
10 89 solar
9 498 wind
9 498 solar
2 494 water
2 494 solar
2 494 solar
5 57 solar
7 24 water
4 237 wind
6 10 wind
6 10 solar
6 10 wind
1 23 solar
3 179 solar
3 179 wind
8 161 solar
8 161 solar
10 85 water
10 85 solar
9 32 water
9 32 water
9 32 water
2 255 wind
5 123 wind
5 123 solar
7 41 solar
7 41 water
7 41 wind
4 202 water
4 202 wind
6 446 water
6 446 solar
1 71 wind
1 71 water
3 30 solar
3 30 solar
3 30 water
8 156 water
8 156 solar
10 331 wind
10 331 wind
10 331 solar
9 414 water
9 414 wind
2 167 solar
2 167 water
5 436 wind
5 436 wind
7 139 wind
4 413 solar
4 413 water
6 495 wind
1 103 water
1 103 water
1 103 water
3 9 wind
3 9 water
3 9 water
8 399 water
10 293 solar
10 293 solar
10 293 water
9 173 wind
9 173 solar
2 141 solar
2 141 solar
5 252 wind
5 252 solar
5 252 solar
7 158 wind
4 151 solar
4 151 water
6 188 wind
6 188 water
6 188 water
1 219 solar
1 219 solar
3 69 wind
3 69 water
8 445 solar
8 445 water
10 466 water
10 466 solar
9 304 water
2 143 water
2 143 water
5 371 wind
7 301 solar
7 301 wind
4 467 water
4 467 water
4 467 solar
6 486 solar
1 227 water
3 114 wind
3 114 water
3 114 solar
8 138 wind
10 352 wind
9 449 water
9 449 water
9 449 wind
2 181 wind
2 181 solar
2 181 water
5 347 wind
5 347 wind
7 208 wind
7 208 solar
4 128 wind
4 128 water
6 169 wind
6 169 water
6 169 water
1 153 water
3 296 wind
8 292 wind
10 314 wind
9 351 wind
9 351 solar
9 351 solar
2 240 wind
2 240 solar
5 11 solar
5 11 wind
7 22 solar
4 271 wind
4 271 solar
6 1 solar
6 1 wind
1 356 water
1 356 solar
3 142 solar
8 56 water
10 479 water
10 479 wind
9 370 water
2 200 wind
2 200 water
5 489 water
5 489 solar
7 469 wind
4 372 water
4 372 water
6 408 wind
6 408 solar
1 15 wind
3 268 wind
3 268 solar
3 268 solar
8 283 solar
8 283 wind
10 487 water
10 487 solar
9 102 wind
9 102 wind
9 102 solar
2 358 water
2 358 solar
5 274 solar
7 62 solar
7 62 water
4 230 water
6 298 wind
1 55 solar
1 55 solar
1 55 water
3 390 solar
8 427 water
8 427 water
10 203 water
10 203 solar
10 203 solar
9 64 water
2 420 solar
5 262 solar
5 262 wind
7 242 wind
7 242 wind
7 242 solar
4 295 wind
6 16 wind
6 16 water
6 16 solar
1 117 water
1 117 water
1 117 solar
3 204 water
3 204 water
3 204 water
8 336 wind
10 163 wind
10 163 water
9 437 wind
9 437 solar
2 14 wind
5 485 water
5 485 wind
7 411 solar
7 411 water
7 411 solar
4 44 solar
4 44 wind
4 44 wind
6 47 wind
6 47 water
1 306 water
3 472 solar
3 472 wind
8 276 solar
10 172 water
9 263 wind
9 263 wind
2 229 wind
2 229 solar
5 476 wind
5 476 water
7 287 wind
7 287 solar
7 287 water
4 456 water
4 456 water
6 477 solar
1 12 wind
3 115 water
3 115 solar
8 350 water
8 350 water
8 350 solar
10 29 wind
10 29 solar
9 246 solar
9 246 water
9 246 wind
2 422 solar
2 422 wind
2 422 solar
5 159 wind
7 149 wind
7 149 solar
4 105 wind
6 4 water
6 4 wind
6 4 solar
1 65 water
1 65 wind
3 73 wind
8 316 wind
8 316 water
8 316 solar
10 213 solar
10 213 water
10 213 water
9 465 wind
9 465 wind
2 140 solar
2 140 wind
5 363 water
5 363 water
5 363 water
7 326 solar
7 326 water
4 424 wind
6 177 wind
6 177 wind
6 177 water
1 196 solar
1 196 wind
1 196 water
3 87 water
8 457 solar
10 100 solar
9 46 solar
9 46 wind
9 46 solar
2 335 solar
5 110 wind
7 221 water
7 221 wind
4 366 water
4 366 wind
4 366 water
6 297 water
6 297 water
6 297 wind
1 145 solar
1 145 wind
3 205 wind
3 205 solar
8 448 water
8 448 solar
10 407 wind
10 407 water
10 407 wind
9 369 water
2 199 solar
2 199 solar
2 199 solar
5 400 water
5 400 solar
5 400 water
7 299 water
4 320 wind
4 320 solar
6 39 water
6 39 solar
6 39 wind
1 434 solar
1 434 water
1 434 water
3 35 solar
8 361 water
8 361 solar
8 361 wind
10 256 solar
9 146 wind
2 43 solar
5 21 water
7 101 water
7 101 water
4 329 wind
6 373 wind
1 18 water
3 3 wind
3 3 solar
8 496 water
8 496 solar
10 294 solar
9 245 water
9 245 solar
9 245 water
2 131 solar
2 131 solar
5 125 solar
7 45 solar
4 443 solar
4 443 wind
4 443 solar
6 435 water
6 435 solar
1 36 wind
1 36 wind
3 339 water
3 339 wind
8 86 wind
8 86 solar
10 307 solar
10 307 water
10 307 wind
9 425 wind
9 425 solar
9 425 wind
2 315 water
2 315 wind
2 315 solar
5 464 solar
5 464 solar
5 464 water
7 253 solar
4 471 wind
4 471 wind
4 471 solar
6 96 wind
6 96 solar
1 28 solar
1 28 solar
3 478 solar
3 478 water
3 478 wind
8 463 solar
10 98 water
10 98 water
10 98 solar
9 257 water
9 257 water
2 384 water
2 384 water
5 162 water
5 162 solar
7 323 wind
7 323 solar
4 305 wind
4 305 water
6 108 water
6 108 water
6 108 solar
1 135 wind
1 135 solar
1 135 wind
3 460 solar
3 460 solar
8 382 wind
8 382 wind
10 231 water
9 355 water
2 289 water
2 289 wind
2 289 water
5 431 wind
5 431 solar
5 431 water
7 25 solar
7 25 wind
4 130 water
4 130 wind
6 232 solar
1 308 solar
3 189 solar
3 189 solar
3 189 water
8 33 water
8 33 water
10 438 solar
10 438 water
10 438 solar
9 404 solar
9 404 solar
2 234 solar
5 291 solar
5 291 wind
5 291 wind
7 248 wind
7 248 solar
4 440 water
4 440 wind
4 440 water
6 462 wind
6 462 water
6 462 wind
1 380 solar
3 303 water
8 27 wind
8 27 wind
10 67 solar
9 249 water
9 249 wind
9 249 solar
2 312 solar
2 312 solar
2 312 water
5 280 solar
5 280 water
7 83 solar
7 83 wind
7 83 wind
4 410 water
4 410 solar
6 398 water
6 398 solar
1 415 water
1 415 water
1 415 wind
3 406 solar
3 406 wind
8 157 wind
8 157 wind
10 484 solar
9 40 solar
2 277 solar
2 277 wind
2 277 water
5 383 solar
5 383 solar
7 20 solar
7 20 solar
4 48 wind
4 48 water
6 174 water
6 174 water
6 174 solar
1 348 wind
3 34 solar
3 34 solar
3 34 solar
8 259 wind
8 259 solar
8 259 wind
10 13 solar
9 206 water
9 206 water
9 206 solar
2 405 solar
2 405 water
5 160 wind
5 160 water
7 377 wind
7 377 solar
4 37 wind
4 37 solar
6 458 solar
6 458 wind
6 458 solar
1 419 water
3 95 water
8 134 solar
8 134 water
8 134 wind
10 345 water
10 345 water
9 226 solar
2 468 wind
